date,signal,symbol,strike,expiry,dte,iv_pct,orb_range,atr,size,entry_time,entry_spot,buy_price,buy_value,sl,t1,t2,t1_hit,t1_price,t1_spot,exit_time,exit_spot,sell_price,sell_value,exit_reason,pnl,t1_pnl,t2_pnl,mode,entry_prem,exit_price,t1_exit
2025-11-12,PUT,NIFTY25NOV25750PE,25750,18-Nov-2025,6,15.0,56.9,12.5,FULL,09:37,25783.7,170.49,11081.85,127.87,221.64,340.98,False,0.0,0.0,11:08,25881.25,127.87,8311.55,STOPLOSS,-2770.3,0.0,0.0,BSM,170.49,127.87,0.0
2025-11-13,CALL,NIFTY25NOV25950CE,25950,18-Nov-2025,5,13.0,93.5,16.9,FULL,10:24,25913.2,152.58,9917.7,114.44,198.35,305.16,False,0.0,0.0,15:10,25867.9,127.45,8284.25,EOD,-1633.45,0.0,0.0,BSM,152.58,127.45,0.0
2025-11-14,CALL,NIFTY25NOV25900CE,25900,18-Nov-2025,4,13.0,59.2,19.0,FULL,09:31,25842.25,123.63,8035.95,92.72,160.72,247.26,False,0.0,0.0,10:02,25772.3,92.72,6026.8,STOPLOSS,-2009.15,0.0,0.0,BSM,123.63,92.72,0.0
2025-11-17,CALL,NIFTY25NOV26050CE,26050,25-Nov-2025,8,16.0,68.9,15.2,HALF,12:35,25984.3,233.64,15186.6,175.23,303.73,467.28,False,0.0,0.0,15:10,26012.4,243.56,15831.4,EOD,644.8,0.0,0.0,BSM,233.64,243.56,0.0
2025-11-18,PUT,NIFTY25NOV25850PE,25850,25-Nov-2025,7,15.0,93.1,14.6,FULL,09:50,25918.1,169.94,11046.1,127.46,220.92,339.88,False,0.0,0.0,15:10,25917.95,166.0,10790.0,EOD,-256.1,0.0,0.0,BSM,169.94,166.0,0.0
2025-11-19,CALL,NIFTY25NOV26000CE,26000,25-Nov-2025,6,15.0,73.1,15.2,FULL,10:08,25934.9,183.01,11895.65,137.26,237.91,366.02,True,237.91,26048.5,15:10,26051.7,239.82,15527.18,EOD,3631.53,1756.8,1874.73,BSM,183.01,239.82,237.91
2025-11-20,CALL,NIFTY25NOV26200CE,26200,25-Nov-2025,5,13.0,47.6,12.6,MED,10:48,26139.3,142.79,9281.35,107.09,185.63,285.58,True,185.63,26231.5,15:01,26185.85,163.31,11329.39,TRAIL,2048.04,1370.88,677.16,BSM,142.79,163.31,185.63
2025-11-21,PUT,NIFTY25NOV26050PE,26050,25-Nov-2025,4,13.0,72.8,13.9,FULL,10:05,26090.75,115.81,7527.65,86.86,150.55,231.62,False,0.0,0.0,12:24,26157.55,86.86,5645.9,STOPLOSS,-1881.75,0.0,0.0,BSM,115.81,86.86,0.0
2025-11-24,PUT,NIFTY25DEC26000PE,26000,02-Dec-2025,8,16.0,51.5,14.9,FULL,09:44,26074.9,195.96,12737.4,146.97,254.75,391.92,False,0.0,0.0,15:10,25965.95,241.88,15722.2,EOD,2984.8,0.0,0.0,BSM,195.96,241.88,0.0
2025-11-25,CALL,NIFTY25DEC26050CE,26050,02-Dec-2025,7,15.0,72.5,17.7,FULL,10:09,26005.15,211.41,13741.65,158.56,274.83,422.82,False,0.0,0.0,15:00,25894.5,158.56,10306.4,STOPLOSS,-3435.25,0.0,0.0,BSM,211.41,158.56,0.0
2025-11-26,CALL,NIFTY25DEC26050CE,26050,02-Dec-2025,6,15.0,93.7,13.5,FULL,09:30,25991.5,186.57,12127.05,139.93,242.54,373.14,True,242.54,26107.15,15:10,26209.1,305.54,17844.1,EOD,5717.05,1791.04,3926.01,BSM,186.57,305.54,242.54
2025-11-27,CALL,NIFTY25DEC26350CE,26350,02-Dec-2025,5,13.0,78.8,16.2,FULL,10:07,26300.0,148.8,9672.0,111.6,193.44,297.6,False,0.0,0.0,12:24,26222.7,111.6,7254.0,STOPLOSS,-2418.0,0.0,0.0,BSM,148.8,111.6,0.0
2025-11-28,CALL,NIFTY25DEC26300CE,26300,02-Dec-2025,4,13.0,74.0,17.1,FULL,09:34,26252.35,130.61,8489.65,97.96,169.79,261.22,False,0.0,0.0,15:10,26206.7,106.29,6908.85,EOD,-1580.8,0.0,0.0,BSM,130.61,106.29,0.0
2025-12-01,PUT,NIFTY25DEC26200PE,26200,09-Dec-2025,8,16.0,47.7,13.1,FULL,09:59,26264.3,202.22,13144.3,151.66,262.89,404.44,False,0.0,0.0,15:10,26187.4,233.19,15157.35,EOD,2013.05,0.0,0.0,BSM,202.22,233.19,0.0
2025-12-02,PUT,NIFTY25DEC26050PE,26050,09-Dec-2025,7,15.0,58.5,14.2,FULL,09:42,26088.75,184.17,11971.05,138.13,239.42,368.34,False,0.0,0.0,15:10,26030.5,207.25,13471.25,EOD,1500.2,0.0,0.0,BSM,184.17,207.25,0.0
2025-12-03,PUT,NIFTY25DEC25900PE,25900,09-Dec-2025,6,15.0,107.9,15.9,FULL,09:33,25947.5,165.47,10755.55,124.1,215.11,330.94,False,0.0,0.0,15:10,25997.8,140.51,9133.15,EOD,-1622.4,0.0,0.0,BSM,165.47,140.51,0.0
2025-12-04,CALL,NIFTY25DEC26050CE,26050,09-Dec-2025,5,13.0,56.4,14.3,FULL,09:35,26016.75,154.97,10073.05,116.23,201.46,309.94,False,0.0,0.0,15:10,26051.4,168.65,10962.25,EOD,889.2,0.0,0.0,BSM,154.97,168.65,0.0
2025-12-05,CALL,NIFTY25DEC26150CE,26150,09-Dec-2025,4,13.0,69.9,16.2,FULL,10:04,26085.15,121.83,7918.95,91.37,158.38,243.66,True,158.38,26167.25,14:07,26150.95,150.45,10033.01,TRAIL,2114.06,1169.6,944.46,BSM,121.83,150.45,158.38
2025-12-08,PUT,NIFTY25DEC26050PE,26050,16-Dec-2025,8,16.0,50.1,16.6,FULL,09:35,26116.25,200.08,13005.2,150.06,260.1,400.16,True,260.1,25977.1,15:10,25977.05,261.99,16968.87,EOD,3963.67,1920.64,2043.03,BSM,200.08,261.99,260.1
2025-12-09,PUT,NIFTY25DEC25750PE,25750,16-Dec-2025,7,15.0,92.2,16.9,FULL,09:30,25776.35,187.42,12182.3,140.56,243.65,374.84,False,0.0,0.0,12:06,25888.4,140.56,9136.4,STOPLOSS,-3045.9,0.0,0.0,BSM,187.42,140.56,0.0
2025-12-10,CALL,NIFTY25DEC25950CE,25950,16-Dec-2025,6,15.0,59.4,18.0,FULL,09:30,25898.7,189.22,12299.3,141.92,245.99,378.44,False,0.0,0.0,12:31,25794.2,141.92,9224.8,STOPLOSS,-3074.5,0.0,0.0,BSM,189.22,141.92,0.0
2025-12-11,PUT,NIFTY25DEC25650PE,25650,16-Dec-2025,5,13.0,74.9,19.5,FULL,09:39,25721.45,115.22,7489.3,86.42,149.79,230.44,False,0.0,0.0,10:14,25807.55,86.42,5617.3,STOPLOSS,-1872.0,0.0,0.0,BSM,115.22,86.42,0.0
