datetime,strike,type,ltp,volume
2026-04-28 09:30:00,23900,CE,120,1000
2026-04-28 09:30:00,23950,CE,135,1100
2026-04-28 09:30:00,24000,CE,150,1200
2026-04-28 09:30:00,24050,CE,165,1300
2026-04-28 09:30:00,24100,CE,180,1400

2026-04-28 09:30:00,23900,PE,80,1000
2026-04-28 09:30:00,23950,PE,70,1100
2026-04-28 09:30:00,24000,PE,60,1200
2026-04-28 09:30:00,24050,PE,50,1300
2026-04-28 09:30:00,24100,PE,40,1400

2026-04-28 09:31:00,23900,CE,125,1000
2026-04-28 09:31:00,23950,CE,140,1100
2026-04-28 09:31:00,24000,CE,155,1200
2026-04-28 09:31:00,24050,CE,170,1300
2026-04-28 09:31:00,24100,CE,185,1400

2026-04-28 09:31:00,23900,PE,78,1000
2026-04-28 09:31:00,23950,PE,68,1100
2026-04-28 09:31:00,24000,PE,58,1200
2026-04-28 09:31:00,24050,PE,48,1300
2026-04-28 09:31:00,24100,PE,38,1400
