TradDt,XpryDt,StrkPric,OptnTp,ClsPric
2025-11-12,2025-11-18,26750.0,CE,2.8
2025-11-12,2025-11-18,26150.0,CE,49.15
2025-11-12,2025-11-18,25300.0,CE,647.25
2025-11-12,2025-11-18,25050.0,CE,893.95
2025-11-12,2025-11-18,25000.0,CE,939.1
2025-11-12,2025-11-18,24400.0,CE,1552.0
2025-11-12,2025-11-18,23650.0,CE,2103.6
2025-11-12,2025-11-18,23400.0,CE,2355.05
2025-11-12,2025-11-18,24150.0,CE,1589.8
2025-11-12,2025-11-18,24550.0,CE,1335.5
2025-11-12,2025-11-18,24600.0,CE,1342.35
2025-11-12,2025-11-18,25100.0,CE,843.35
2025-11-12,2025-11-18,25250.0,CE,699.65
2025-11-12,2025-11-18,25700.0,CE,290.45
2025-11-12,2025-11-18,26350.0,CE,16.45
2025-11-12,2025-11-18,26900.0,CE,1.85
2025-11-12,2025-11-18,27400.0,CE,0.9
2025-11-12,2025-11-18,26000.0,PE,163.4
2025-11-12,2025-11-18,25600.0,PE,36.6
2025-11-12,2025-11-18,25500.0,PE,25.55
2025-11-12,2025-11-18,25250.0,PE,11.65
2025-11-12,2025-11-18,24500.0,PE,4.05
2025-11-12,2025-11-18,24400.0,PE,3.75
2025-11-12,2025-11-18,23550.0,PE,2.35
2025-11-12,2025-11-18,27100.0,PE,1310.0
2025-11-12,2025-11-18,24050.0,PE,3.0
2025-11-12,2025-11-18,27800.0,CE,0.75
2025-11-12,2025-11-18,26700.0,CE,3.4
2025-11-12,2025-11-18,25400.0,CE,553.75
2025-11-12,2025-11-18,24900.0,CE,1039.8
2025-11-12,2025-11-18,24450.0,CE,1298.95
2025-11-12,2025-11-18,24000.0,CE,1935.0
2025-11-12,2025-11-18,23850.0,CE,1894.6
2025-11-12,2025-11-18,23800.0,CE,1955.0
2025-11-12,2025-11-18,26850.0,PE,919.05
2025-11-12,2025-11-18,25750.0,PE,65.1
2025-11-12,2025-11-18,25650.0,PE,44.3
2025-11-12,2025-11-18,25400.0,PE,18.3
2025-11-12,2025-11-18,24800.0,PE,5.35
2025-11-12,2025-11-18,24750.0,PE,5.05
2025-11-12,2025-11-18,24600.0,PE,4.4
2025-11-12,2025-11-18,24550.0,PE,4.2
2025-11-12,2025-11-18,24450.0,PE,3.85
2025-11-12,2025-11-18,24100.0,PE,3.05
2025-11-12,2025-11-18,23450.0,CE,2303.45
2025-11-12,2025-11-18,23700.0,CE,2043.35
2025-11-12,2025-11-18,24050.0,CE,1686.7
2025-11-12,2025-11-18,24200.0,CE,1707.05
2025-11-12,2025-11-18,24750.0,CE,1188.05
2025-11-12,2025-11-18,24850.0,CE,1074.25
2025-11-12,2025-11-18,26200.0,CE,37.7
2025-11-12,2025-11-18,27050.0,CE,1.3
2025-11-12,2025-11-18,27100.0,CE,1.1
2025-11-12,2025-11-18,27150.0,CE,1.0
2025-11-12,2025-11-18,27250.0,CE,0.9
2025-11-12,2025-11-18,27300.0,PE,1340.3
2025-11-12,2025-11-18,27200.0,PE,1435.0
2025-11-12,2025-11-18,26750.0,PE,829.45
2025-11-12,2025-11-18,26650.0,PE,721.15
2025-11-12,2025-11-18,26600.0,PE,667.4
2025-11-12,2025-11-18,26500.0,PE,565.9
2025-11-12,2025-11-18,26050.0,PE,193.0
2025-11-12,2025-11-18,25550.0,PE,30.3
2025-11-12,2025-11-18,24700.0,PE,4.9
2025-11-12,2025-11-18,23400.0,PE,2.15
2025-11-12,2025-11-18,26250.0,CE,28.7
2025-11-12,2025-11-18,24300.0,CE,1609.0
2025-11-12,2025-11-18,25750.0,CE,252.95
2025-11-12,2025-11-18,25650.0,CE,331.05
2025-11-12,2025-11-18,27550.0,PE,1709.4
2025-11-12,2025-11-18,24850.0,PE,5.8
2025-11-12,2025-11-18,24350.0,PE,3.55
2025-11-12,2025-11-18,24250.0,PE,3.4
2025-11-12,2025-11-18,24200.0,PE,3.25
2025-11-12,2025-11-18,23900.0,PE,2.75
2025-11-12,2025-11-18,27650.0,CE,0.8
2025-11-12,2025-11-18,26650.0,CE,3.9
2025-11-12,2025-11-18,26450.0,CE,9.6
2025-11-12,2025-11-18,25800.0,CE,217.3
2025-11-12,2025-11-18,27500.0,PE,1547.9
2025-11-12,2025-11-18,26550.0,PE,611.35
2025-11-12,2025-11-18,26100.0,PE,224.85
2025-11-12,2025-11-18,25300.0,PE,13.45
2025-11-12,2025-11-18,25150.0,PE,9.35
2025-11-12,2025-11-18,27750.0,CE,0.85
2025-11-12,2025-11-18,26800.0,CE,2.4
2025-11-12,2025-11-18,26100.0,CE,63.45
2025-11-12,2025-11-18,25950.0,CE,125.75
2025-11-12,2025-11-18,25550.0,CE,419.05
2025-11-12,2025-11-18,25450.0,CE,506.85
2025-11-12,2025-11-18,25150.0,CE,797.75
2025-11-12,2025-11-18,24950.0,CE,982.8
2025-11-12,2025-11-18,24350.0,CE,1399.0
2025-11-12,2025-11-18,26600.0,CE,4.8
2025-11-12,2025-11-18,23600.0,CE,2143.55
2025-11-12,2025-11-18,23500.0,CE,2424.45
2025-11-12,2025-11-18,23700.0,PE,2.55
2025-11-12,2025-11-18,24950.0,PE,6.65
2025-11-12,2025-11-18,26150.0,PE,261.5
2025-11-12,2025-11-18,27050.0,PE,1287.2
2025-11-12,2025-11-18,27600.0,PE,1638.95
2025-11-12,2025-11-18,27700.0,CE,0.8
2025-11-12,2025-11-18,27500.0,CE,0.85
2025-11-12,2025-11-18,27450.0,CE,0.85
