date,signal,entry,exit,pnl,reason
2025-11-12,PUT,82.5,57.74999999999999,-1608.75,SL
2025-11-13,CALL,94.08,112.01600000000002,1165.84,TRAIL
2025-11-14,CALL,84.43,77.2,-469.95,TRAIL
2025-11-17,CALL,81.64,90.12,551.2,EOD
2025-11-18,PUT,69.14,64.76,-284.7,TRAIL
2025-11-19,CALL,81.69,78.00800000000001,-239.33,TRAIL
2025-11-21,PUT,80.65,71.56,-590.85,TRAIL
2025-11-24,PUT,67.17,53.736000000000004,-873.21,TRAIL
2025-11-25,CALL,90.79,75.712,-980.07,TRAIL
2025-11-26,CALL,84.99,169.98,5524.35,T2
2025-11-27,CALL,89.72,71.776,-1166.36,TRAIL
2025-11-28,CALL,90.57,72.456,-1177.41,TRAIL
2025-12-02,PUT,81.48,76.03200000000001,-354.12,TRAIL
2025-12-03,PUT,77.33,77.904,37.31,TRAIL
2025-12-04,CALL,96.16,108.048,772.72,TRAIL
2025-12-05,CALL,82.42,71.54400000000001,-706.94,TRAIL
2025-12-08,PUT,70.55,141.1,4585.75,T2
2025-12-09,PUT,68.25,63.38400000000001,-316.29,TRAIL
2025-12-10,CALL,87.98,84.20800000000001,-245.18,TRAIL
2025-12-11,PUT,67.18,57.328,-640.38,TRAIL
2025-12-15,PUT,73.61,58.888000000000005,-956.93,TRAIL
2025-12-17,PUT,77.72,72.888,-314.08,TRAIL
2025-12-18,PUT,74.44,63.504,-710.84,TRAIL
2025-12-19,CALL,95.46,77.304,-1180.14,TRAIL
2025-12-22,CALL,84.25,95.15,708.5,EOD
2025-12-23,PUT,68.0,54.400000000000006,-884.0,TRAIL
2025-12-24,CALL,79.74,63.792,-1036.62,TRAIL
2025-12-29,PUT,81.92,120.48,2506.4,EOD
2025-12-30,CALL,94.08,76.216,-1161.16,TRAIL
2025-12-31,CALL,80.92,126.56,2966.6,TRAIL
2026-01-02,CALL,80.84,126.1,2941.9,EOD
2026-01-05,PUT,86.77,69.416,-1128.01,TRAIL
2026-01-06,CALL,89.18,74.936,-925.86,TRAIL
2026-01-07,PUT,77.05,61.64,-1001.65,TRAIL
2026-01-08,PUT,75.0,60.0,-975.0,TRAIL
2026-01-09,PUT,67.5,47.25,-1316.25,SL
2026-01-13,PUT,78.58,69.64,-581.1,TRAIL
2026-01-14,CALL,91.75,73.4,-1192.75,TRAIL
2026-01-16,CALL,87.38,119.232,2070.38,TRAIL
2026-01-19,PUT,66.78,56.824000000000005,-647.14,TRAIL
2026-01-20,PUT,66.83,61.632000000000005,-337.87,TRAIL
2026-01-21,PUT,76.42,152.84,4967.3,T2
2026-01-22,CALL,87.19,77.144,-652.99,TRAIL
2026-01-23,PUT,76.99,79.096,136.89,TRAIL
2026-01-29,PUT,82.29,87.08,311.35,TRAIL
2026-01-30,CALL,83.47,71.256,-793.91,TRAIL
2026-02-02,CALL,83.08,77.56,-358.8,TRAIL
2026-02-05,PUT,70.79,65.504,-343.59,TRAIL
2026-02-06,PUT,75.71,64.8,-709.15,TRAIL
2026-02-09,PUT,80.36,64.288,-1044.68,TRAIL
2026-02-10,CALL,85.5,81.808,-239.98,TRAIL
2026-02-11,PUT,79.74,69.848,-642.98,TRAIL
2026-02-12,PUT,86.02,68.816,-1118.26,TRAIL
2026-02-13,PUT,75.79,68.104,-499.59,TRAIL
2026-02-16,CALL,86.38,74.0,-804.7,TRAIL
2026-02-17,CALL,89.39,98.768,609.57,TRAIL
2026-02-18,PUT,83.76,74.464,-604.24,TRAIL
2026-02-19,PUT,74.07,148.14,4814.55,T2
2026-02-20,CALL,85.47,74.08,-740.35,TRAIL
2026-02-24,PUT,81.45,80.43200000000002,-66.17,TRAIL
2026-02-25,CALL,87.07,85.152,-124.67,TRAIL
2026-02-26,PUT,83.02,90.04,456.3,TRAIL
2026-02-27,PUT,71.74,74.74400000000001,195.26,TRAIL
2026-03-04,CALL,75.12,60.096000000000004,-976.56,TRAIL
2026-03-05,PUT,73.7,60.0,-890.5,TRAIL
2026-03-06,PUT,80.35,64.28,-1044.55,TRAIL
2026-03-11,PUT,66.68,133.36,4334.2,T2
2026-03-12,CALL,76.19,60.952,-990.47,TRAIL
2026-03-13,PUT,65.42,83.36000000000001,1166.1,TRAIL
2026-03-16,CALL,77.19,88.912,761.93,TRAIL
2026-03-17,CALL,71.45,89.024,1142.31,TRAIL
2026-03-18,CALL,79.81,63.848000000000006,-1037.53,TRAIL
2026-03-24,PUT,64.9,61.608000000000004,-213.98,TRAIL
2026-03-27,PUT,58.71,47.536,-726.31,TRAIL
2026-03-30,CALL,82.77,104.632,1421.03,TRAIL
2026-04-01,PUT,64.82,69.952,333.58,TRAIL
2026-04-08,CALL,73.31,63.016,-669.11,TRAIL
2026-04-10,CALL,73.08,51.156,-1425.06,SL
2026-04-13,CALL,83.15,123.976,2653.69,TRAIL
2026-04-15,PUT,70.59,56.47200000000001,-917.67,TRAIL
2026-04-16,PUT,64.61,62.576,-132.21,TRAIL
2026-04-17,CALL,76.8,80.92000000000002,267.8,TRAIL
2026-04-21,CALL,83.12,87.60000000000001,291.2,TRAIL
2026-04-22,PUT,78.53,87.568,587.47,TRAIL
2026-04-23,CALL,78.68,83.792,332.28,TRAIL
